category,task_id,model,condition,energy_j,runtime_s,mem_mb
file_data_processing,FD-002,deepseek,FEATURE_ADDITION,1.0315,0.1142,12.51953125
file_data_processing,FD-002,deepseek,FULL_MULTI_TURN,1.6201,0.2144,17.51953125
file_data_processing,FD-002,deepseek,ONE_SHOT,0.9644,0.1143,11.4609375
file_data_processing,FD-002,gemini,BUG_FIX,0.8882,0.1142,10.78515625
file_data_processing,FD-002,gemini,EDGE_CASE,0.5443,0.0641,11.22265625
file_data_processing,FD-002,gemini,FEATURE_ADDITION,0.746,0.0643,11.28125
file_data_processing,FD-002,gemini,FULL_MULTI_TURN,0.8121,0.1141,10.78515625
file_data_processing,FD-002,gemini,ONE_SHOT,0.802,0.1142,10.7734375
file_data_processing,FD-002,gpt,BUG_FIX,0.9972,0.1143,10.8359375
file_data_processing,FD-002,gpt,EDGE_CASE,0.9894,0.1142,11.53515625
file_data_processing,FD-002,gpt,FEATURE_ADDITION,1.0194,0.1142,12.73046875
file_data_processing,FD-002,gpt,FULL_MULTI_TURN,1.1635,0.1142,11.41015625
file_data_processing,FD-002,gpt,ONE_SHOT,1.0801,0.1142,10.78515625
file_data_processing,FD-003,claude,BUG_FIX,0.9497,0.1143,11.4921875
file_data_processing,FD-003,claude,EDGE_CASE,1.0532,0.1144,12.07421875
file_data_processing,FD-003,claude,FEATURE_ADDITION,1.0133,0.1143,11.078125
file_data_processing,FD-003,claude,FULL_MULTI_TURN,1.2736,0.1644,12.58984375
file_data_processing,FD-003,claude,ONE_SHOT,1.0193,0.1143,11.203125
file_data_processing,FD-003,deepseek,BUG_FIX,0.8804,0.1143,11.59375
file_data_processing,FD-003,deepseek,EDGE_CASE,0.89,0.1142,11.6953125
file_data_processing,FD-003,deepseek,FEATURE_ADDITION,0.904,0.1142,11.6484375
file_data_processing,FD-003,deepseek,FULL_MULTI_TURN,0.9492,0.1142,11.078125
file_data_processing,FD-003,deepseek,ONE_SHOT,0.9454,0.1143,11.37890625
file_data_processing,FD-003,gemini,BUG_FIX,0.6084,0.064,11.63671875
file_data_processing,FD-003,gemini,EDGE_CASE,0.7104,0.0641,12.59765625
file_data_processing,FD-003,gemini,FEATURE_ADDITION,0.5651,0.0641,11.3984375
file_data_processing,FD-003,gemini,FULL_MULTI_TURN,0.5574,0.064,12.19921875
file_data_processing,FD-003,gemini,ONE_SHOT,0.5383,0.0641,11.69921875
file_data_processing,FD-003,gpt,BUG_FIX,0.6656,0.0641,11.078125
file_data_processing,FD-003,gpt,EDGE_CASE,0.608,0.0643,10.90234375
file_data_processing,FD-003,gpt,FEATURE_ADDITION,0.6029,0.0641,10.953125
file_data_processing,FD-003,gpt,FULL_MULTI_TURN,0.8041,0.1142,11.4609375
file_data_processing,FD-003,gpt,ONE_SHOT,0.8093,0.0642,11.11328125
file_data_processing,FD-004,claude,BUG_FIX,1.2681,0.1165,13.30078125
file_data_processing,FD-004,claude,EDGE_CASE,1.1365,0.1145,12.7265625
file_data_processing,FD-004,claude,FEATURE_ADDITION,1.1325,0.1145,13.23828125
file_data_processing,FD-004,claude,FULL_MULTI_TURN,0.9655,0.1142,13.78125
file_data_processing,FD-004,claude,ONE_SHOT,0.8607,0.1142,12.5234375
file_data_processing,FD-004,deepseek,BUG_FIX,0.8806,0.1141,12.1953125
file_data_processing,FD-004,deepseek,EDGE_CASE,0.9202,0.1143,13.140625
file_data_processing,FD-004,deepseek,FEATURE_ADDITION,1.0038,0.1143,12.4609375
file_data_processing,FD-004,deepseek,FULL_MULTI_TURN,0.6369,0.0641,11.76953125
file_data_processing,FD-004,deepseek,ONE_SHOT,1.1093,0.1143,13.9140625
file_data_processing,FD-004,gemini,BUG_FIX,0.782,0.1141,13.38671875
file_data_processing,FD-004,gemini,FULL_MULTI_TURN,0.7424,0.0643,12.39453125
file_data_processing,FD-004,gemini,ONE_SHOT,1.0751,0.1142,11.4609375
file_data_processing,FD-004,gpt,BUG_FIX,0.8113,0.1143,10.77734375
file_data_processing,FD-004,gpt,EDGE_CASE,0.6006,0.0642,11.02734375
file_data_processing,FD-004,gpt,FEATURE_ADDITION,0.6424,0.0641,10.8984375
